"Timestamp","How important is it for you to feel deeply understood by people you are close to?","How often do you intentionally have meaningful conversations with someone you care about?
","Have you ever felt that you do not know someone close to you as well as you would like?","If yes, what do you think causes it?","What challenges make it difficult to maintain a strong connection with someone over time?","How do you currently preserve important memories with people you care about?","Have you ever wished you had a better way to","Please explain your answer","What usually makes a conversation with someone feel meaningful or special?","Would you be interested in a tool that helps two people intentionally build a stronger connection over time?","Why","What concerns would you have about using a digital tool to store personal memories, conversations, or reflections?","Imagine a tool existed that helped people become closer and understand each other better. What would you expect it to do?","Age Range ","Relationship status "
"2026/07/21 12:19:55 am GMT","Neutral","Rarely","Sonetimes","Separation","Busy schedules;Distance;Lack of communication;Changes in life circumstances","Messages or chats;Social media posts;Physical keepsakes","Understand someone's thoughts and feelings;Strengthen a relationship over time","It makes the bond stronger","Personal believes and deep thoughts of life","Definitely interested","Curiosity ","Privacy concerns;It may feel unnatural","Effective methods of communication 
","Under 18","Dating"
"2026/07/21 12:21:56 am GMT","Important","Rarely","Sonetimes","Separation ","Busy schedules;Distance;Lack of communication;Changes in life circumstances","Photos/Videos;Messages or chats;Physical keepsakes","Understand someone's thoughts and feelings;Strengthen a relationship over time","It strengthens the bond","Personal believes and deep thoughts ","Definitely interested","Curiosity ","Privacy concerns;It may feel unnatural","Effective methods of communication ","18--24","Dating"
"2026/07/21 7:50:21 am GMT","Very Important","Daily","Yes","Lack of communication, less intimacy and lack of attention ","Lack of communication;Forgetting important moments;Difficulty expressing feelings;Changes in life circumstances;Less intimacy","Physical keepsakes","Understand someone's thoughts and feelings;Strengthen a relationship over time;Learn new things about someone close to you;Have deeper conversations;Remember important moments","I love her ","When we both listen","Definitely interested","Because I want to live her the more ","Privacy concerns;Security concerns;It may feel unnatural","To cause us to love each other better ","18--24","Married"
"2026/07/21 9:38:42 am GMT","Very Important","Several times a week","No","I said no ","Lack of communication","I do not usually preserve memories","Understand someone's thoughts and feelings","Because I don’t understand why some people behave the way they do ","The relationship with the person ","Maybe interested","Because I might be interested ","Security concerns","Get money closer to me ","18--24","Single"
"2026/07/21 10:37:54 am GMT","Important","Daily","Sonetimes","Time and nothing to talk about","Busy schedules;Distance;Lack of communication;Difficulty expressing feelings","Photos/Videos","Understand someone's thoughts and feelings;Strengthen a relationship over time;Learn new things about someone close to you;Have deeper conversations;Remember important moments","To feel closer to the person","The joy and peace I feel during and after the conversation","Definitely interested","It makes us grow closer","Privacy concerns;Security concerns;It may feel unnatural","Make us happy","18--24","Dating"
"2026/07/21 10:57:37 am GMT","Very Important","Rarely","Sonetimes","I don't really trust people","Busy schedules;Lack of communication;Forgetting important moments;Difficulty expressing feelings","Photos/Videos","Understand someone's thoughts and feelings;Learn new things about someone close to you;Have deeper conversations","I want to learn to trust","when we both can relate to common interests ","Maybe interested","I think the tool will maybe improve conversation with people","Privacy concerns;It may feel unnatural","I want it to help me keep conversations going on","18--24","Single"
"2026/07/21 11:00:46 am GMT","Very Important","Weekly","Yes","lack of communication ","Busy schedules;Distance;Lack of communication;Repeating the same conversations;Forgetting important moments;Difficulty expressing feelings","Photos/Videos;Messages or chats","Understand someone's thoughts and feelings;Strengthen a relationship over time;Have deeper conversations","with these, the relationship will be stronger since we’ll most likely be on the same page","being truthful and not hiding some stuff when chatting","Maybe interested","there are tools available already over the internet ","Privacy concerns;Security concerns;It may require too much effort","be able to keep memories over time","18--24","Dating"
"2026/07/21 11:27:11 am GMT","Very Important","Rarely","Yes","","Busy schedules;Distance","Photos/Videos","Understand someone's thoughts and feelings;Strengthen a relationship over time","Understanding their point of view will help me relate well with them","Bilateral conversation ","Not sure","If they don’t want to strengthen bonds, I wouldn’t have to use a third party to force it ","It may require too much effort","I don’t really know ","",""
"2026/07/21 11:28:48 am GMT","Neutral","Rarely","Sonetimes","Perhaps some changes in my behavior or that of the person in question, being exposed to others who are similar or much better?","Busy schedules;Distance;Lack of communication;Repeating the same conversations;Forgetting important moments;Difficulty expressing feelings;Changes in life circumstances","I do not usually preserve memories","Understand someone's thoughts and feelings;Strengthen a relationship over time;Learn new things about someone close to you;Have deeper conversations;Remember important moments","Getting to know people very well, gives you more insights as to how to live with them","If you adore them?","Probably not","Cos if naturally, that can't be experienced how much more a tool? Social media came to make that better but has worsen it in some cases","Privacy concerns;Security concerns;It may feel unnatural;It may require too much effort;I do not see the value I prefer traditional methods","Do more than traditional methods can't do, like knowing why people hide certain things from you","18--24","Single"
"2026/07/21 11:32:06 am GMT","Very Important","Several times a week","Sonetimes","","Distance","Photos/Videos","Strengthen a relationship over time","This is because relationship with the other sex (female) tends to fade overtime ","Understanding and tolerating other","Definitely interested","That will prolong d","Privacy concerns","To keep relationships improved ","18--24","Single"
"2026/07/21 1:31:13 pm GMT","Important","Several times a week","Sonetimes","They are not comfortable with me","Busy schedules;Distance;Lack of communication;Forgetting important moments;Difficulty expressing feelings;Changes in life circumstances","Photos/Videos","Strengthen a relationship over time","I wish I had the resources, time and means to accommodate the person overtime","Remembering the tiny details about the person","Maybe interested","Technology is indispensable in todays age","Privacy concerns;Security concerns","Be secure and private","25--34","Dating"
"2026/07/21 1:31:34 pm GMT","Neutral","Several times a week","Yes","","Lack of communication","Journal or personal notes","Strengthen a relationship over time","No and. ","Listening","Maybe interested","Ghh","Security concerns","Get the tool","18--24","Dating"
"2026/07/21 1:47:27 pm GMT","Very Important","Daily","Sonetimes","","Busy schedules;Lack of communication;Difficulty expressing feelings","Photos/Videos;Messages or chats;Social media posts","Strengthen a relationship over time;Have deeper conversations","Relationships seem to be on the surface and could be deeper.","when they are honest ","Not sure","think that space is crowded","Privacy concerns;Security concerns","speak","35--44","Married"
"2026/07/21 3:14:24 pm GMT","Very Important","Rarely","Yes","Trust and probably secretive nature of people","Busy schedules;Distance;Lack of communication;Repeating the same conversations;Difficulty expressing feelings","I do not usually preserve memories","Understand someone's thoughts and feelings","It'll help know how to respond and not offend the other ","If the conversation is with someone you love or trust then I think it'll always be special","Maybe interested","If a tool like that exists, it'll help people like introverts and social strangers understand people better","Privacy concerns;Security concerns","It's broad. It could help by periodically showing a fun memory, or include a game or event like to get to know each other like a fun quiz or board game or something interactive, could be an ai tool that analyzes text and facial expression to see if someone is happy or a message was offensive.","18--24","Single"
"2026/07/21 3:21:15 pm GMT","Very Important","Several times a week","Sonetimes","","Busy schedules;Lack of communication;Difficulty expressing feelings;Changes in life circumstances","Photos/Videos;Messages or chats;Physical keepsakes","Understand someone's thoughts and feelings;Strengthen a relationship over time;Learn new things about someone close to you;Have deeper conversations;Remember important moments","Both people practice active listening and genuine empathy, making each person feel fully heard and valued. ","It becomes truly special through mutual vulnerability and thoughtful engagement, which build deep trust and authentic connection.","Probably not","Not trusting a stranger with my relationship ","Privacy concerns;It may feel unnatural","A tool designed to foster deeper human connection should bridge emotional, cultural, and communication gaps through active empathy and guided interaction","18--24","Close friendships"
"2026/07/21 3:30:10 pm GMT","Important","Weekly","No","","Lack of communication;Forgetting important moments;Difficulty expressing feelings;Changes in life circumstances","Photos/Videos;Messages or chats;Physical keepsakes","Understand someone's thoughts and feelings;Remember important moments","Understanding someone’s thoughts and feelings makes you bond more and build deeper connections and remembering important moments shows how much you value that person","When you have deeper conversations as well as goal oriented conversations with someone","Maybe interested","It doesn’t sound like something harmful and if it can help, why not","Privacy concerns;Security concerns","It asks deeper level questions and have some interactive games too","18--24","Single"
"2026/07/21 3:30:14 pm GMT","Very Important","Almost never","Yes","Lack of meaningful and deep conversations ","Busy schedules;Lack of communication;Difficulty expressing feelings","Messages or chats;Journal or personal notes","Understand someone's thoughts and feelings;Strengthen a relationship over time;Learn new things about someone close to you;Have deeper conversations;Remember important moments","I wish to deeply experience closeness to someone, and to know them as if you were them","When we talk about things that are deeply tied to who we are and what we believe in","Definitely interested","As long as it'd bridge the communication gap I think it's a fun idea","Privacy concerns;Security concerns","I would expect it to allow two people chat, share moments privately without any external factors involved. Just two people chatting and building a connection ","18--24","Single"
"2026/07/21 3:38:09 pm GMT","Very Important","Daily","Yes","Attitude ","Busy schedules;Distance;Lack of communication;Difficulty expressing feelings","Photos/Videos;Messages or chats","Understand someone's thoughts and feelings","Understand people ","Interactive ","Probably not","No","Privacy concerns;Security concerns;It may feel unnatural","Phone ","18--24","Single"
"2026/07/21 4:02:23 pm GMT","Important","Rarely","Yes","Lack of constant communication ","Busy schedules;Distance;Lack of communication","Photos/Videos;Messages or chats","Understand someone's thoughts and feelings","A better way to understand people on how they express themselves ","Having a genuine laugh","Maybe interested","I feel like, relationship with people shouldn't be forced😌","Privacy concerns;It may require too much effort","I don't really know","18--24","Single"
"2026/07/21 10:55:23 pm GMT","Important","Rarely","No","","Lack of communication;Difficulty expressing feelings","Journal or personal notes","Have deeper conversations","it makes me feel closer to the person","actually listening ","Not sure","depends on said tool","Privacy concerns","it improves better communication and listening ","18--24","Single"
"2026/07/22 10:01:49 am GMT","Very Important","Several times a week","Yes","lack of communication ","Lack of communication","Messages or chats","Have deeper conversations","I guess it makes the bond stronger ","consistency ","Maybe interested","I just want to see what you come up with, humans are complicated ","Privacy concerns","a tool that can read minds and energy ","18--24","Single"
"2026/07/22 9:22:02 pm GMT","Very Important","Rarely","Yes","","Lack of communication;Difficulty expressing feelings;Changes in life circumstances","Photos/Videos;Messages or chats;Social media posts;Physical keepsakes","Understand someone's thoughts and feelings;Strengthen a relationship over time;Learn new things about someone close to you","In order to make them feel more understood. ","The vibe","Definitely interested","I want have more friends ","Security concerns","Help people connect ","18--24","Dating"
"2026/07/22 10:49:07 pm GMT","Very Important","Daily","Sonetimes","","Busy schedules;Changes in life circumstances","Photos/Videos","Strengthen a relationship over time;Have deeper conversations","Mm","When you understand each other","Not sure","No reason ","Privacy concerns;Security concerns","Help understand ones feelings","18--24","Single"
"2026/07/23 10:39:15 am GMT","Very Important","Several times a week","Sonetimes","","Lack of communication;Difficulty expressing feelings","Messages or chats;Physical keepsakes","Understand someone's thoughts and feelings;Strengthen a relationship over time;Learn new things about someone close to you;Have deeper conversations;Remember important moments","I don't want to lose important and influential people in my life","When we mostly talk and I see you ","Definitely interested","For better life","Privacy concerns;Security concerns","I don't know ","18--24","Single"
"2026/07/23 7:02:47 pm GMT","Important","Rarely","No","","Busy schedules;Changes in life circumstances","Photos/Videos;Messages or chats","Learn new things about someone close to you","Get to know them as they are. ","Understanding","Not sure","Everything is based on communication, and we build it naturally","Privacy concerns;Security concerns","Help with keeping memories and text without losing them. ","18--24","Single"
